SURVEY: PS1MD
SNID:  PSc000098
IAUC:    UNKNOWN
RA:         184.9064  deg
DECL:        46.0322  deg
MWEBV:  0.0127  +- 0.0000 MW E(B-V)
REDSHIFT_FINAL:  0.0570  +- 0.0000 CMB
SEARCH_PEAKMJD: 55212.0
FILTERS:    griz

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 401
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR

OBS: 55597.6 i NULL  -20.748 15.762 nan -0.825
OBS: 55615.6 i NULL  -17.416 49.624 nan -3.094
OBS: 55630.6 i NULL  10.216 21.112 -7.523 2.244
OBS: 55636.4 i NULL  -41.110 19.737 nan -0.521
OBS: 55645.6 i NULL  -8.662 17.325 nan -2.171
OBS: 55651.5 i NULL  12.508 14.966 -7.743 1.299
OBS: 55663.3 i NULL  15.752 14.713 -7.993 1.014
OBS: 55666.3 i NULL  -10.428 24.539 nan -2.555
OBS: 55672.4 i NULL  4.667 13.540 -6.673 3.150
OBS: 55675.4 i NULL  5.520 13.379 -6.855 2.632
OBS: 55678.3 i NULL  3.058 17.191 -6.214 6.103
OBS: 55681.3 i NULL  -1.160 15.286 nan -14.306
OBS: 55693.3 i NULL  76.845 74.612 -9.714 1.054
OBS: 55702.3 i NULL  -24.409 22.744 nan -1.012
OBS: 55705.3 i NULL  12.550 13.247 -7.747 1.146
OBS: 55708.3 i NULL  6.327 21.202 -7.003 3.638
OBS: 55711.3 i NULL  -0.133 13.420 nan -109.305
OBS: 55714.3 i NULL  8.400 15.661 -7.311 2.024
OBS: 55720.3 i NULL  5.150 29.307 -6.780 6.178
OBS: 55723.3 i NULL  7.955 15.919 -7.252 2.173
OBS: 55732.3 i NULL  42.640 20.145 -9.075 0.513
OBS: 55738.3 i NULL  -38.937 27.721 nan -0.773
OBS: 55939.6 i NULL  -41.832 20.877 nan -0.542
OBS: 55945.6 i NULL  -9.638 14.543 nan -1.638
OBS: 55948.6 i NULL  7.450 17.272 -7.180 2.517
OBS: 55950.6 i NULL  7.171 13.517 -7.139 2.047
OBS: 55956.6 i NULL  -23.831 14.502 nan -0.661
OBS: 55960.7 i NULL  -21.870 13.962 nan -0.693
OBS: 55968.6 i NULL  -6.071 15.159 nan -2.711
OBS: 55971.6 i NULL  14.209 15.564 -7.881 1.189
OBS: 55974.6 i NULL  24.244 166.187 -8.462 7.442
OBS: 55977.6 i NULL  -92.729 22.471 nan -0.263
OBS: 55979.6 i NULL  5.171 15.866 -6.784 3.331
OBS: 55985.6 i NULL  -13.124 15.529 nan -1.285
OBS: 55998.5 i NULL  30.367 20.817 -8.706 0.744
OBS: 56001.6 i NULL  -6.093 20.482 nan -3.650
OBS: 56007.5 i NULL  -17.477 15.242 nan -0.947
OBS: 56019.5 i NULL  -19.094 14.516 nan -0.825
OBS: 56027.5 i NULL  -2.014 13.791 nan -7.435
OBS: 56030.5 i NULL  9.187 16.170 -7.408 1.911
OBS: 56033.3 i NULL  6.216 14.489 -6.984 2.531
OBS: 56036.4 i NULL  -0.820 18.600 nan -24.640
OBS: 56038.3 i NULL  22.874 13.626 -8.398 0.647
OBS: 56041.3 i NULL  4.439 13.629 -6.618 3.334
OBS: 56048.4 i NULL  -2.710 16.395 nan -6.567
OBS: 56057.4 i NULL  13.702 16.513 -7.842 1.308
OBS: 56063.3 i NULL  -9.850 16.645 nan -1.835
OBS: 56066.3 i NULL  -0.406 15.322 nan -41.015
OBS: 56068.3 i NULL  -5.984 13.334 nan -2.419
OBS: 56323.6 i NULL  -6.459 22.534 nan -3.788
OBS: 56326.6 i NULL  -5.488 15.495 nan -3.065
OBS: 56332.6 i NULL  -7.180 13.725 nan -2.076
OBS: 56334.5 i NULL  -5.670 15.491 nan -2.967
OBS: 56337.6 i NULL  2.930 13.398 -6.167 4.965
OBS: 56352.5 i NULL  -9.947 20.758 nan -2.266
OBS: 56355.5 i NULL  -4.617 14.460 nan -3.400
OBS: 56358.6 i NULL  1.411 14.395 -5.374 11.078
OBS: 56369.4 i NULL  -1.830 16.345 nan -9.700
OBS: 56385.5 i NULL  4.781 14.588 -6.699 3.313
OBS: 56388.5 i NULL  14.881 17.521 -7.932 1.278
OBS: 56391.4 i NULL  1.996 15.014 -5.751 8.166
OBS: 56393.3 i NULL  6.974 14.843 -7.109 2.311
OBS: 56396.5 i NULL  -2.986 22.369 nan -8.134
OBS: 56399.4 i NULL  -10.806 15.119 nan -1.519
OBS: 56403.4 i NULL  -14.378 17.605 nan -1.329
OBS: 56411.4 i NULL  17.961 47.694 -8.136 2.883
OBS: 56414.4 i NULL  2.056 18.580 -5.782 9.813
OBS: 56417.4 i NULL  -8.811 16.597 nan -2.045
OBS: 56420.4 i NULL  8.442 13.136 -7.316 1.690
OBS: 56422.3 i NULL  -11.812 14.141 nan -1.300
OBS: 56432.3 i NULL  -6.255 19.954 nan -3.463
OBS: 56444.3 i NULL  -0.189 14.297 nan -82.176
OBS: 56447.3 i NULL  5.689 13.679 -6.888 2.611
OBS: 56450.3 i NULL  -78.925 24.674 nan -0.339
OBS: 56452.3 i NULL  -6.766 15.178 nan -2.436
