ug,gr,gi,gz,petroRad_i,petroR50_i,deVAB_i,fracDev_i
3.277523,1.746462,2.365988,2.686613,6.00411,2.076716,0.6547384,1.0
1.695921,0.8292751,1.225004,1.517631,5.383098,2.374815,0.7312046,0.5479742
1.065695,0.4577198,0.8109646,0.984005,6.354981,3.091313,0.578581,0.2667037
1.725655,1.743439,2.377186,2.707516,2.583532,1.209616,0.6574473,1.0
2.243498,1.142403,1.629913,1.962715,5.598348,2.419668,0.9175797,1.0
2.659998,1.721922,2.85606,3.24073,3.906649,1.690626,0.7180175,1.0
4.065351,1.908278,2.65045,3.103968,2.679207,1.201913,0.8788085,1.0
1.273743,1.263094,2.216122,2.652054,2.285713,1.241353,0.8999767,0.7679399
1.14831,0.4862118,0.8286381,1.029411,4.703801,2.294717,0.5499749,0.0
0.9835167,0.4760189,0.7481003,0.8283577,3.954633,1.763528,0.5612602,0.8952026
1.910465,1.373932,1.899914,2.251785,6.506861,2.51831,0.7304488,1.0
2.57328,1.660671,2.358503,2.740192,2.883915,1.352568,0.9224039,1.0
3.937283,1.739218,2.46817,2.904919,3.556988,1.412667,0.945178,1.0
1.505754,0.7139111,1.0837,1.367888,10.16018,4.747838,0.2544822,0.009000053
4.300476,1.798563,2.479084,3.022495,5.383784,2.170056,0.8247692,1.0
1.611565,1.067282,1.924187,2.044989,6.265283,2.502445,0.4811318,0.9919377
2.601936,1.488588,2.235977,2.528717,2.935932,1.185932,0.745038,1.0
3.894148,1.812862,2.383684,2.750893,5.455648,1.983806,0.8571603,1.0
2.155743,1.652775,2.257881,2.545465,4.673189,1.956898,0.7733963,1.0
2.875906,1.581823,2.135509,2.55899,4.722421,2.091808,0.6957112,1.0
1.831692,1.943855,2.651955,3.030708,27.92365,1.769455,0.7015197,1.0
1.809156,0.8653984,1.268345,1.571295,5.740957,2.454744,0.7804372,0.8655437
2.009649,1.359724,1.851521,2.227049,4.769328,1.855476,0.8439249,1.0
1.478611,0.6021528,0.907135,1.133436,6.374813,2.971517,0.6721805,0.5709288
2.199926,0.7933788,1.710432,2.491701,2.970173,2.754241,0.5599799,1.0
1.445154,0.8356857,1.280075,1.546467,3.884613,1.679558,0.564824,0.9080177
2.145302,1.37388,2.018896,2.426033,4.612291,1.956612,0.2588678,0.8862286
1.048117,1.949242,2.714994,3.106585,4.616267,1.805552,0.484518,1.0
2.173038,1.61237,2.361002,2.769245,2.40987,1.19044,0.7904932,0.772095
1.918646,1.652203,2.434946,2.988539,3.502103,1.556852,0.8292711,1.0
-0.2691193,2.01931,3.135553,3.669693,6.903486,1.989778,0.5114667,1.0
3.349543,1.810408,2.886221,3.373655,4.217303,1.487677,0.6933402,1.0
1.682636,0.8500443,1.313231,1.642168,4.753365,2.021096,0.5671918,0.5657189
2.78973,1.567127,2.285669,2.726912,3.455909,1.542484,0.3506424,0.5978155
3.224367,1.738199,2.743874,3.146173,5.014832,2.217542,0.5510942,1.0
2.719072,1.709169,2.68079,3.123911,106.6973,1.730122,0.6591544,1.0
1.831997,0.8928089,1.324507,1.675606,5.050311,2.21957,0.4098946,0.910644
1.783756,0.8797722,1.301497,1.611359,9.124733,3.684542,0.8475685,1.0
0.8536415,0.1822701,0.4279633,0.486969,5.074739,1.688999,0.5583602,1.0
1.352341,0.6886044,1.078077,1.327932,4.013828,1.876029,0.8168804,1.0
1.384104,1.659372,2.650537,2.988506,2.969141,1.958586,0.2156334,1.0
1.992188,1.69099,2.320778,2.656652,4.562506,1.498497,0.8359243,1.0
1.384203,0.6802521,1.084724,1.334656,3.351678,1.609048,0.5331852,0.9764739
1.921118,0.9506264,1.381178,1.742942,3.913052,1.767326,0.6103999,1.0
2.002363,1.642492,2.429222,2.850697,3.049088,1.262973,0.5370626,1.0
1.870584,1.739336,2.480572,2.940639,21.77837,1.59411,0.6399453,1.0
2.154062,1.756714,2.491671,2.959002,3.196944,1.385272,0.8500246,1.0
4.738699,1.744532,2.415272,2.765123,3.060627,1.351945,0.599886,0.8407587
0.6169548,2.282921,3.202646,3.659418,4.591393,2.020152,0.4950804,0.9052687
3.842501,1.846182,2.495724,2.893396,4.291286,1.723913,0.8179141,1.0
3.654213,1.907681,2.6113,3.083311,4.974581,1.985428,0.7332225,1.0
1.955519,0.9299488,1.36113,1.71409,2.91699,1.460186,0.6669586,1.0
0.8497849,0.389925,0.7910137,0.7565422,2.506938,1.175895,0.7279758,0.8850369
1.413017,0.7658005,1.176157,1.505468,6.790416,3.166635,0.4089297,0.4148003
0.6193237,1.188288,1.92034,2.34128,4.584577,2.262386,0.6879278,0.277857
2.19348,1.591957,2.134827,2.423874,5.947753,2.37019,0.6821223,1.0
1.916145,1.074123,1.529699,1.895193,9.229853,3.662356,0.569772,1.0
1.922831,1.038309,1.483158,1.785952,4.084239,1.805142,0.5643093,0.8237079
3.250225,1.676083,2.541485,2.953745,6.360154,1.625157,0.7473834,1.0
1.906162,0.8992825,1.248962,1.473185,3.27467,1.482897,0.705723,1.0
1.141699,0.5814552,0.9109879,1.12281,6.080358,3.031021,0.7858146,0.2589282
1.203348,0.6300545,0.9841881,1.235432,4.388983,2.217024,0.845597,0.02320266
1.927639,0.9744701,1.377472,1.719475,4.21943,1.90063,0.5186676,0.7671707
1.776121,0.9107037,1.25886,1.548267,2.043811,0.9521012,0.8110477,1.0
1.832428,1.044273,1.484381,1.792126,4.460849,1.95405,0.6467956,1.0
1.120687,0.4312897,0.7622814,0.8871937,5.211994,2.493848,0.6944697,0.2342052
1.56605,0.7263813,1.12327,1.453434,3.906857,1.803603,0.3696211,0.2750594
2.148151,1.279917,1.742889,2.114494,4.583225,1.789661,0.6975074,0.9133592
1.62201,0.8024826,1.224401,1.537611,9.895464,4.193593,0.4526427,0.7119892
1.790096,0.7729721,1.116057,1.447792,11.88276,5.372859,0.8734931,1.0
1.942276,1.034027,1.491851,1.878221,5.767223,2.416548,0.4631316,0.8984883
1.780504,0.8016777,1.241766,1.5741,4.650496,2.366285,0.5500208,0.4598023
